control_id,control_domain,Control_Description,CIS_Control_Number,CIS_Control_Title,CIS_Control_Description
CM-CS-7,CM,The Company networks are monitored to detect threat activity.,12.7,Deploy Network-Based Intrusion Prevention Systems,Deploy network-based Intrusion Prevention Systems (IPS) to block malicious network traffic at each of the organization's network boundaries.
CM-CS-7,CM,The Company networks are monitored to detect threat activity.,12.8,Deploy NetFlow Collection on Networking Boundary Devices,Enable the collection of NetFlow and logging data on all network boundary devices.
CM-CS-7,CM,The Company networks are monitored to detect threat activity.,12.1,Maintain an Inventory of Network Boundaries,Maintain an up-to-date inventory of all of the organization's network boundaries.
CM-CS-7,CM,The Company networks are monitored to detect threat activity.,13.5,Monitor and Detect Any Unauthorized Use of Encryption,Monitor all traffic leaving the organization and detect any unauthorized use of encryption.
CM-CS-8,CM,The Company applications are monitored to detect threat activity.,9.5,Implement Application Firewalls,Place application firewalls in front of any critical servers to verify and validate the traffic going to the server. Any unauthorized traffic should be blocked and logged.
CM-CS-8,CM,The Company applications are monitored to detect threat activity.,12.9,Deploy Application Layer Filtering Proxy Server,Ensure that all network traffic to or from the Internet passes through an authenticated application layer proxy that is configured to filter unauthorized connections.
CM-CS-8,CM,The Company applications are monitored to detect threat activity.,18.1,Establish Secure Coding Practices,Establish secure coding practices appropriate to the programming language and development environment being used.
CM-CS-9,CM,The Company endpoints are monitored to detect malicious code and detect threat activity.,4.8,Log and Alert on Changes to Administrative Group Membership,Configure systems to issue a log entry and alert when an account is added to or removed from any group assigned administrative privileges.
CM-CS-9,CM,The Company endpoints are monitored to detect malicious code and detect threat activity.,4.9,Log and Alert on Unsuccessful Administrative Account Login,Configure systems to issue a log entry and alert on unsuccessful logins to an administrative account.
CM-CS-9,CM,The Company endpoints are monitored to detect malicious code and detect threat activity.,6.2,Activate Audit Logging,Ensure that local logging has been enabled on all systems and networking devices.
CM-CS-9,CM,The Company endpoints are monitored to detect malicious code and detect threat activity.,6.3,Enable Detailed Logging,"Enable system logging to include detailed information such as a event source, date, user, timestamp, source addresses, destination addresses, and other useful elements."
CM-CS-9,CM,The Company endpoints are monitored to detect malicious code and detect threat activity.,8.1,Utilize Centrally Managed Anti-malware Software,Utilize centrally managed anti-malware software to continuously monitor and defend each of the organization's workstations and servers.
CM-CS-9,CM,The Company endpoints are monitored to detect malicious code and detect threat activity.,8.2,Ensure Anti-Malware Software and Signatures Are Updated,Ensure that the organization's anti-malware software updates its scanning engine and signature database on a regular basis.
CM-CS-9,CM,The Company endpoints are monitored to detect malicious code and detect threat activity.,8.3,Enable Operating System Anti-Exploitation Features/Deploy Anti-Exploit Technologies,Enable anti-exploitation features such as Data Execution Prevention (DEP) or Address Space Layout Randomization (ASLR) that are available in an operating system or deploy appropriate toolkits that can be configured to apply protection to a broader set of applications and executables.
CM-CS-9,CM,The Company endpoints are monitored to detect malicious code and detect threat activity.,8.4,Configure Anti-Malware Scanning of Removable Devices,Configure devices so that they automatically conduct an anti-malware scan of removable media when inserted or connected.
CM-CS-9,CM,The Company endpoints are monitored to detect malicious code and detect threat activity.,8.5,Configure Devices to Not Auto-Run Content,Configure devices to not auto-run content from removable media.
CM-CS-9,CM,The Company endpoints are monitored to detect malicious code and detect threat activity.,9.4,Apply Host-Based Firewalls or Port-Filtering,"Apply host-based firewalls or port-filtering tools on end systems, with a default-deny rule that drops all traffic except those services and ports that are explicitly allowed."
NI-CS-10,NI,The Company implements and maintains controls to identify and prevent unauthorized devices from accessing its wireless network.,15.8,"Use Wireless Authentication Protocols That Require Mutual, Multi-Factor Authentication","Ensure that wireless networks use authentication protocols such as Extensible Authentication Protocol-Transport Layer Security (EAP/TLS), which requires mutual, multi-factor authentication."
NI-CS-10,NI,The Company implements and maintains controls to identify and prevent unauthorized devices from accessing its wireless network.,15.1,Maintain an Inventory of Authorized Wireless Access Points,Maintain an inventory of authorized wireless access points connected to the wired network.
NI-CS-10,NI,The Company implements and maintains controls to identify and prevent unauthorized devices from accessing its wireless network.,15.3,Use a Wireless Intrusion Detection System,Use a wireless intrusion detection system (WIDS) to detect and alert on unauthorized wireless access points connected to the network.
NI-CS-11,NI,The Company implements and maintains controls to identify and prevent unauthorized devices from remotely accessing the network.,12.1,Require All Remote Login to Use Multi-Factor Authentication,Require all remote login access to the organization's network to encrypt data in transit and use multi-factor authentication.
NI-CS-11,NI,The Company implements and maintains controls to identify and prevent unauthorized devices from remotely accessing the network.,12.1,Manage All Devices Remotely Logging into Internal Network,Scan all enterprise devices remotely logging into the organization's network prior to accessing the network to ensure that each of the organization's security policies has been enforced in the same manner as local network devices.
NI-CS-2,NI,The Company configures network devices to mitigate network security threats.,11.1,Maintain Standard Security Configurations for Network Devices,Maintain documented security configuration standards for all authorized network devices.
NI-CS-2,NI,The Company configures network devices to mitigate network security threats.,11.2,Document Traffic Configuration Rules,"All configuration rules that allow traffic to flow through network devices should be documented in a configuration management system with a specific business reason for each rule, a specific individual’s name responsible for that business need, and an expected duration of the need."
NI-CS-3,NI,"The Company restricts unnecessary network services, ports, and protocols, and monitors communications at external network boundaries and between internal networks. ",12.2,Scan for Unauthorized Connections Across Trusted Network Boundaries,Perform regular scans from outside each trusted network boundary to detect any unauthorized connections which are accessible across the boundary.
NI-CS-3,NI,"The Company restricts unnecessary network services, ports, and protocols, and monitors communications at external network boundaries and between internal networks. ",12.3,Deny Communications With Known Malicious IP Addresses,"Deny communications with known malicious or unused Internet IP addresses and limit access only to trusted and necessary IP address ranges at each of the organization's network boundaries,."
NI-CS-3,NI,"The Company restricts unnecessary network services, ports, and protocols, and monitors communications at external network boundaries and between internal networks. ",12.4,Deny Communication Over Unauthorized Ports,Deny communication over unauthorized TCP or UDP ports or application traffic to ensure that only authorized protocols are allowed to cross the network boundary in or out of the network at each of the organization's network boundaries.
NI-CS-3,NI,"The Company restricts unnecessary network services, ports, and protocols, and monitors communications at external network boundaries and between internal networks. ",12.5,Configure Monitoring Systems to Record Network Packets,Configure monitoring systems to record network packets passing through the boundary at each of the organization's network boundaries.
NI-CS-3,NI,"The Company restricts unnecessary network services, ports, and protocols, and monitors communications at external network boundaries and between internal networks. ",12.8,Deploy NetFlow Collection on Networking Boundary Devices,Enable the collection of NetFlow and logging data on all network boundary devices.
NI-CS-4,NI,The Company permits external network connections from its network through boundary protection devices or services.,12.9,Deploy Application Layer Filtering Proxy Server,Ensure that all network traffic to or from the Internet passes through an authenticated application layer proxy that is configured to filter unauthorized connections.
NI-CS-7,NI,The Company physically or logically separates its network based on function and class of data.,14.1,Segment the Network Based on Sensitivity,"Segment the network based on the label or classification level of the information stored on the servers, locate all sensitive information on separated Virtual Local Area Networks (VLANs)."
NI-CS-7,NI,The Company physically or logically separates its network based on function and class of data.,14.2,Enable Firewall Filtering Between VLANs,Enable firewall filtering between VLANs to ensure that only authorized systems are able to communicate with other systems necessary to fulfill their specific responsibilities.
NI-CS-8,NI,"The Company separates its network by function with the user network segmented from production, non-production and internet-facing networks. Network design and implementation considers the principles of least privilege. ",18.9,Separate Production and Non-Production Systems,Maintain separate environments for production and non-production systems. Developers should not have unmonitored access to production environments.
NI-CS-9,NI,The Company implements and maintains controls to identify and prevent unauthorized devices from accessing its physical network.,1.7,Deploy Port Level Access Control,"Utilize port level access control, following 802.1x standards, to control which devices can authenticate to the network. The authentication system shall be tied into the hardware asset inventory data to ensure only authorized devices can connect to the network."
NI-CS-9,NI,The Company implements and maintains controls to identify and prevent unauthorized devices from accessing its physical network.,1.8,Utilize Client Certificates to Authenticate Hardware Assets,Use client certificates to authenticate hardware assets connecting to the organization's trusted network.
NI-CS-9,NI,The Company implements and maintains controls to identify and prevent unauthorized devices from accessing its physical network.,15.1,Maintain an Inventory of Authorized Wireless Access Points,Maintain an inventory of authorized wireless access points connected to the wired network.
PM-CS-4,PM,"Patches are identified, assessed, and documented as they are made available by vendors.",3.4,Deploy Automated Operating System Patch Management Tools,Deploy automated software update tools in order to ensure that the operating systems are running the most recent security updates provided by the software vendor.
PM-CS-4,PM,"Patches are identified, assessed, and documented as they are made available by vendors.",3.5,Deploy Automated Software Patch Management Tools,Deploy automated software update tools in order to ensure that third-party software on all systems is running the most recent security updates provided by the software vendor.
PM-CS-4,PM,"Patches are identified, assessed, and documented as they are made available by vendors.",11.4,Install the Latest Stable Version of Any Security-Related Updates on All Network Devices,Install the latest stable version of any security-related updates on all network devices.
PM-CS-5,PM,"Patch deployment is prioritized, initiated, completed, and documented per timeline requirements.",3.4,Deploy Automated Operating System Patch Management Tools,Deploy automated software update tools in order to ensure that the operating systems are running the most recent security updates provided by the software vendor.
PM-CS-5,PM,"Patch deployment is prioritized, initiated, completed, and documented per timeline requirements.",3.5,Deploy Automated Software Patch Management Tools,Deploy automated software update tools in order to ensure that third-party software on all systems is running the most recent security updates provided by the software vendor.
PM-CS-5,PM,"Patch deployment is prioritized, initiated, completed, and documented per timeline requirements.",11.4,Install the Latest Stable Version of Any Security-Related Updates on All Network Devices,Install the latest stable version of any security-related updates on all network devices.
PM-CS-8,PM,The Company maintains a patch management solution to manage software patches.,3.4,Deploy Automated Operating System Patch Management Tools,Deploy automated software update tools in order to ensure that the operating systems are running the most recent security updates provided by the software vendor.
PM-CS-8,PM,The Company maintains a patch management solution to manage software patches.,3.5,Deploy Automated Software Patch Management Tools,Deploy automated software update tools in order to ensure that third-party software on all systems is running the most recent security updates provided by the software vendor.
PM-CS-9,PM,Application or System Owners verify that patches are successfully deployed.,3.4,Deploy Automated Operating System Patch Management Tools,Deploy automated software update tools in order to ensure that the operating systems are running the most recent security updates provided by the software vendor.
PM-CS-9,PM,Application or System Owners verify that patches are successfully deployed.,3.5,Deploy Automated Software Patch Management Tools,Deploy automated software update tools in order to ensure that third-party software on all systems is running the most recent security updates provided by the software vendor.
PM-CS-9,PM,Application or System Owners verify that patches are successfully deployed.,11.4,Install the Latest Stable Version of Any Security-Related Updates on All Network Devices,Install the latest stable version of any security-related updates on all network devices.
PP-CS-3,PP,"The System Development Life Cycle (SDLC) methodology and supporting processes and tools are defined, maintained, reviewed and approved on a [INSERT TIME FRAME] basis.",18.1,Establish Secure Coding Practices,Establish secure coding practices appropriate to the programming language and development environment being used.
PP-CS-4,PP,System development and information security roles and responsibilities are defined and communicated.,18.6,Ensure Software Development Personnel are Trained in Secure Coding,Ensure that all software development personnel receive training in writing secure code for their specific development environment and responsibilities.
PP-CS-5,PP,"The organization controls changes to systems within the System Development Life Cycle (SDLC) through formal, documented, and implemented change control procedures that incorporate information security considerations.",18.7,Apply Static and Dynamic Code Analysis Tools,Apply static and dynamic analysis tools to verify that secure coding practices are being adhered to for internally developed software.
PP-CS-5,PP,"The organization controls changes to systems within the System Development Life Cycle (SDLC) through formal, documented, and implemented change control procedures that incorporate information security considerations.",18.2,Ensure That Explicit Error Checking is Performed for All In-House Developed Software,"For in-house developed software, ensure that explicit error checking is performed and documented for all input, including for size, data type, and acceptable ranges or formats."
PP-CS-7,PP,Production environments are logically separate from non-production environments.,18.9,Separate Production and Non-Production Systems,Maintain separate environments for production and non-production systems. Developers should not have unmonitored access to production environments.
ST-CS-1,ST,The Company requires new employees to complete Security Awareness Training within [INSERT TIME FRAME] days of start-date. Non-completions are handled pursuant to the Mandatory Training policy.,17.3,Implement a Security Awareness Program,Create a security awareness program for all workforce members to complete on a regular basis to ensure they understand and exhibit the necessary behaviors and skills to help ensure the security of the organization. The organization's security awareness program should be communicated in a continuous and engaging manner.
ST-CS-1,ST,The Company requires new employees to complete Security Awareness Training within [INSERT TIME FRAME] days of start-date. Non-completions are handled pursuant to the Mandatory Training policy.,19.6,Publish Information Regarding Reporting Computer Anomalies and Incidents,"Publish information for all workforce members, regarding reporting computer anomalies and incidents, to the incident handling team. Such information should be included in routine employee awareness activities."
ST-CS-2,ST,The Company requires new contractors to complete Security Awareness Training within [INSERT TIME FRAME] days of start-date. Non-completions are handled pursuant to the Mandatory Training policy.,17.3,Implement a Security Awareness Program,Create a security awareness program for all workforce members to complete on a regular basis to ensure they understand and exhibit the necessary behaviors and skills to help ensure the security of the organization. The organization's security awareness program should be communicated in a continuous and engaging manner.
ST-CS-2,ST,The Company requires new contractors to complete Security Awareness Training within [INSERT TIME FRAME] days of start-date. Non-completions are handled pursuant to the Mandatory Training policy.,19.6,Publish Information Regarding Reporting Computer Anomalies and Incidents,"Publish information for all workforce members, regarding reporting computer anomalies and incidents, to the incident handling team. Such information should be included in routine employee awareness activities."
ST-CS-3,ST,The Company requires all employees to complete Security Awareness Training on an [INSERT TIME FRAME] or if significant system changes occur. Employees have a designated window of time to complete Security Awareness Training from course enrollment. Non-completions are handled pursuant to the Mandatory Training policy.,17.3,Implement a Security Awareness Program,Create a security awareness program for all workforce members to complete on a regular basis to ensure they understand and exhibit the necessary behaviors and skills to help ensure the security of the organization. The organization's security awareness program should be communicated in a continuous and engaging manner.
ST-CS-3,ST,The Company requires all employees to complete Security Awareness Training on an [INSERT TIME FRAME] or if significant system changes occur. Employees have a designated window of time to complete Security Awareness Training from course enrollment. Non-completions are handled pursuant to the Mandatory Training policy.,19.6,Publish Information Regarding Reporting Computer Anomalies and Incidents,"Publish information for all workforce members, regarding reporting computer anomalies and incidents, to the incident handling team. Such information should be included in routine employee awareness activities."
ST-CS-3,ST,The Company requires all employees to complete Security Awareness Training on an [INSERT TIME FRAME] or if significant system changes occur. Employees have a designated window of time to complete Security Awareness Training from course enrollment. Non-completions are handled pursuant to the Mandatory Training policy.,17.4,Update Awareness Content Frequently,"Ensure that the organization's security awareness program is updated frequently (at least annually) to address new technologies, threats, standards, and business requirements."
ST-CS-4,ST,The Company requires contractors to complete Security Awareness Training on an [INSERT TIME FRAME] or if significant system changes occur.  Contractors have a designated window of time to complete Security Awareness Training from course enrollment. Non-completions are handled pursuant to the Mandatory Training policy.,17.3,Implement a Security Awareness Program,Create a security awareness program for all workforce members to complete on a regular basis to ensure they understand and exhibit the necessary behaviors and skills to help ensure the security of the organization. The organization's security awareness program should be communicated in a continuous and engaging manner.
ST-CS-4,ST,The Company requires contractors to complete Security Awareness Training on an [INSERT TIME FRAME] or if significant system changes occur.  Contractors have a designated window of time to complete Security Awareness Training from course enrollment. Non-completions are handled pursuant to the Mandatory Training policy.,19.6,Publish Information Regarding Reporting Computer Anomalies and Incidents,"Publish information for all workforce members, regarding reporting computer anomalies and incidents, to the incident handling team. Such information should be included in routine employee awareness activities."
ST-CS-5,ST,The Company requires additional Security Awareness Training based on job role [INSERT TIME FRAME].,17.5,Train Workforce on Secure Authentication,Train workforce members on the importance of enabling and utilizing secure authentication.
ST-CS-5,ST,The Company requires additional Security Awareness Training based on job role [INSERT TIME FRAME].,17.6,Train Workforce on Identifying Social Engineering Attacks,"Train the workforce on how to identify different forms of social engineering attacks, such as phishing, phone scams, and impersonation calls."
ST-CS-5,ST,The Company requires additional Security Awareness Training based on job role [INSERT TIME FRAME].,17.7,Train Workforce on Sensitive Data Handling,"Train workforce members on how to identify and properly store, transfer, archive, and destroy sensitive information."
ST-CS-5,ST,The Company requires additional Security Awareness Training based on job role [INSERT TIME FRAME].,17.8,Train Workforce on Causes of Unintentional Data Exposure,"Train workforce members to be aware of causes for unintentional data exposures, such as losing their mobile devices or emailing the wrong person due to autocomplete in email."
ST-CS-5,ST,The Company requires additional Security Awareness Training based on job role [INSERT TIME FRAME].,17.9,Train Workforce Members on Identifying and Reporting Incidents,Train workforce members to be able to identify the most common indicators of an incident and be able to report such an incident.
ST-CS-5,ST,The Company requires additional Security Awareness Training based on job role [INSERT TIME FRAME].,18.1,Establish Secure Coding Practices,Establish secure coding practices appropriate to the programming language and development environment being used.
ST-CS-6,ST,The Company's Board receives Security Awareness training on [INSERT TIME FRAME].,17.3,Implement a Security Awareness Program,Create a security awareness program for all workforce members to complete on a regular basis to ensure they understand and exhibit the necessary behaviors and skills to help ensure the security of the organization. The organization's security awareness program should be communicated in a continuous and engaging manner.
ST-CS-7,ST,New and existing employees (based on job role) receive [INSERT SPECIFIC TRAINING MODULE] training prior to starting their roles and responsibilities. Non-completions are handled pursuant to the Mandatory Training Policy.,17.3,Implement a Security Awareness Program,Create a security awareness program for all workforce members to complete on a regular basis to ensure they understand and exhibit the necessary behaviors and skills to help ensure the security of the organization. The organization's security awareness program should be communicated in a continuous and engaging manner.
VM-CS-10,VM,"The Company maintains a process to prioritize, communicate, escalate, and track remediation of exploitable critical vulnerabilities identified on The Company perimeter.",3.1,Run Automated Vulnerability Scanning Tools,Utilize an up-to-date Security Content Automation Protocol (SCAP) compliant vulnerability scanning tool to automatically scan all systems on the network on a weekly or more frequent basis to identify all potential vulnerabilities on the organization's systems.
VM-CS-11,VM,Application and System Owners mitigate vulnerabilities within established Service Level Agreements (SLAs).,3.6,Compare Back-to-Back Vulnerability Scans,Regularly compare the results from consecutive vulnerability scans to verify that vulnerabilities have been remediated in a timely manner.
VM-CS-3,VM,The Company scans external systems to identify vulnerabilities on [INSERT TIME FRAME].,3.1,Run Automated Vulnerability Scanning Tools,Utilize an up-to-date Security Content Automation Protocol (SCAP) compliant vulnerability scanning tool to automatically scan all systems on the network on a weekly or more frequent basis to identify all potential vulnerabilities on the organization's systems.
VM-CS-4,VM,The Company scans internal systems to identify vulnerabilities on [INSERT TIME FRAME].,3.1,Run Automated Vulnerability Scanning Tools,Utilize an up-to-date Security Content Automation Protocol (SCAP) compliant vulnerability scanning tool to automatically scan all systems on the network on a weekly or more frequent basis to identify all potential vulnerabilities on the organization's systems.
VM-CS-4,VM,The Company scans internal systems to identify vulnerabilities on [INSERT TIME FRAME].,3.2,Perform Authenticated Vulnerability Scanning,Perform authenticated vulnerability scanning with agents running locally on each system or with remote scanners that are configured with elevated rights on the system being tested.
VM-CS-4,VM,The Company scans internal systems to identify vulnerabilities on [INSERT TIME FRAME].,3.3,Protect Dedicated Assessment Accounts,"Use a dedicated account for authenticated vulnerability scans, which should not be used for any other administrative activities and should be tied to specific machines at specific IP addresses."
VM-CS-5,VM,The Company performs penetration tests against externally-facing applications on [INSERT TIME FRAME].,20.1,Establish a Penetration Testing Program,"Establish a program for penetration tests that includes a full scope of blended attacks, such as wireless, client-based, and web application attacks."
VM-CS-5,VM,The Company performs penetration tests against externally-facing applications on [INSERT TIME FRAME].,20.2,Conduct Regular External and Internal Penetration Tests,Conduct regular external and internal penetration tests to identify vulnerabilities and attack vectors that can be used to exploit enterprise systems successfully.
VM-CS-5,VM,The Company performs penetration tests against externally-facing applications on [INSERT TIME FRAME].,20.3,Perform Periodic Red Team Exercises,Perform periodic Red Team exercises to test organizational readiness to identify and stop attacks or to respond quickly and effectively.
VM-CS-5,VM,The Company performs penetration tests against externally-facing applications on [INSERT TIME FRAME].,20.4,Include Tests for Presence of Unprotected System Information and Artifacts,"Include tests for the presence of unprotected system information and artifacts that would be useful to attackers, including network diagrams, configuration files, older penetration test reports, e-mails or documents containing passwords or other information critical to system operation."
VM-CS-5,VM,The Company performs penetration tests against externally-facing applications on [INSERT TIME FRAME].,20.6,Use Vulnerability Scanning and Penetration Testing Tools in Concert,Use vulnerability scanning and penetration testing tools in concert. The results of vulnerability scanning assessments should be used as a starting point to guide and focus penetration testing efforts.
VM-CS-6,VM,The Company ranks and prioritizes identified vulnerabilities for remediation in accordance with an established risk ranking process.,3.7,Utilize a Risk-Rating Process,Utilize a risk-rating process to prioritize the remediation of discovered vulnerabilities.
VM-CS-7,VM,The Company documents and communicates identified vulnerabilities to responsible parties.,3.1,Run Automated Vulnerability Scanning Tools,Utilize an up-to-date Security Content Automation Protocol (SCAP) compliant vulnerability scanning tool to automatically scan all systems on the network on a weekly or more frequent basis to identify all potential vulnerabilities on the organization's systems.
VM-CS-8,VM,The Company tracks identified vulnerabilities against established remediation timelines.,3.6,Compare Back-to-Back Vulnerability Scans,Regularly compare the results from consecutive vulnerability scans to verify that vulnerabilities have been remediated in a timely manner.
VM-CS-9,VM,The Company performs testing or scanning to confirm remediation of identified vulnerabilities.,3.6,Compare Back-to-Back Vulnerability Scans,Regularly compare the results from consecutive vulnerability scans to verify that vulnerabilities have been remediated in a timely manner.
